id,name,description,price,original_price,discount,offer
72,STANLEY,Set de tizalínea 2 piezas,$ 10.790,,,False
73,ERGO,Kit de tijera + tijerón para jardín 2 piezas negro,$ 19.990,,,False
74,GENERICO,Nivel Laser Profesional 12 Líneas + Maletín + Trípode + 2 Baterías,$ 55.990,,,False
75,KARSON,Martillo carpintero fibra de vidrio 16 Oz,$ 3.690,,,False
76,GENERICO,Llave Impacto Inalámbrico Alta Potencia 2 Baterías Taladro,$ 65.990,,,False
77,NAPPO,Hidrolavadora NAPPO 1800W Jabonera 5mts Manguera,$ 54.990,,,False
78,BAUKER,Motosierra combustión 54 cc,$ 159.990,,,False
79,BAUKER,Esmeril angular inalámbrico 4_5" 18V sin batería,$ 59.990,,,False
80,BAUKER,Caja de herramientas 12" 16x12x30,$ 5.032,,,False
81,STIHL,Podador bateria gta26,$ 249.990,,,False
82,BAUKER,Fresadora eléctrica 1500W,$ 119.990,,,False
83,STANLEY,Huincha de medir 8 metros,$ 12.147,,,False
84,DEWALT,Sierra circular eléctrica 7 1/4" 1800W,$ 121.990,,,False
85,REDLINE,Set 3 herramientas de apriete,$ 20.388,,,False
86,GENERICO,Set Herramientas Maleta 172 Piezas En 1_ Incl. 3 Chicharras,$ 52.900,,,False
87,DEWALT,Cepilladora de banco eléctrica 1800 W,$ 769.990,,,False
88,UBERMANN,Taladro + esmeril inalámbrico 20V,$ 278.990,$ 349.990,-20%,True
89,UBERMANN,Mochila con ruedas. Negro,$ 45.990,,,False
90,REDLINE,Set de herramientas 53 piezas,$ 24.990,$ 39.990,-38%,True
91,GENERICO,Sierra Inalámbrica Batería Recargable Alta Potencia Podadora,$ 49.990,$ 64.990,-23%,True
92,BOSCH,Kit de puntas y dados 36 piezas,$ 45.590,,,False
93,HELA,Escobilla de acero templado,$ 2.739,,,False
94,BLACK+DECKER,Taladro inalámbrico atornillador 10 mm 12V + 1 batería,$ 70.990,,,False
95,REDLINE,Serrucho carpintero 508 mm acero,$ 10.990,,,False
96,LERNEN,Sopladora Aspiradora Lernen Inalámbrica Con 2 Baterías,$ 34.990,$ 61.990,-44%,True
97,KARSON,Taladro inalámbrico atornillador 10 mm 12V,$ 14.990,,,False
98,UBERMANN,Herramienta multifuncional elétrica 250W,$ 122.990,,,False
99,BAUKER,Esmeril angular eléctrico 4_5" 1100W,$ 29.990,,,False
100,BOSCH,Adaptador para sierra copa bimetal 30 mm,$ 10.190,,,False
101,BOSCH,Medidor de Distancia Láser GLM 50-27 C con Alcance de Hasta 50 m,$ 119.990,$ 169.990,-29%,True
102,BOSCH,Nivel láser 15 m + trípode,$ 149.990,$ 221.990,-32%,True
103,GENERICO,Kit De Herramientas De Jardinería De 5 Piezas.,$ 9.390,,,False
104,STANLEY,Sierra ingleteadora telescópica eléctrica 10" 1800W,$ 296.990,$ 402.990,-26%,True
105,LERNEN,Taladro inalámbrico atornillador 10mm 21V + accesorios,$ 19.990,$ 23.990,,False
106,BLACK+DECKER,Set 153 piezas herramientas manuales BLACK+DECKER,$ 39.990,$ 46.990,,False
107,STANLEY,Sierra de banco eléctrica 10" 1800W,$ 235.990,$ 360.990,-35%,True
108,ESHOPANGIE,Sopladora Y Aspiradora Con Aire De Pc,$ 9.990,$ 17.990,-44%,True
109,NAPPO,Motosierra Eléctrica Inalámbrica 6'' Nappo 2 Baterías,$ 39.990,$ 59.990,-33%,True
110,TOTAL TOOLS,Martillo Carpintero Mango De Fibra 8oz,$ 5.990,$ 6.990,,False
111,REDLINE,Set de alicates acero 3 unidades,$ 19.994,,,False
112,BAUKER,Tecle eléctrico 1600 W 1 tonelada,$ 399.990,,,False
113,UBERMANN,Set 24 Fresas 1/4" ubermann,$ 66.430,,,False
114,PROPAC,Pack 10 pares guantes cuero cabritilla supervisor,$ 14.790,,,False
115,BAUKER,Cepilladora de banco eléctrica 1800W,$ 402.994,,,False
116,REDLINE,Set de formones para madera 8" acero 4 unidades,$ 22.655,,,False
117,CERON,Caballete plegable madera 77x60x29_8 cm café,$ 13.990,,,False
118,HELA,Espátula acero flexible 100 mm,$ 3.190,,,False
119,WESSER,Set de brochas 1"-2"-3" 3 unidades,$ 3.890,,,False
120,HILACHAS,Huaipe algodón 1 kg,$ 3.190,,,False
121,STANLEY,Huincha de medir 8 metros metal,$ 14.290,,,False
